date/time, temperature
2025-02-22 17:49:45,20
2025-02-22 17:50:01,18
2025-02-22 17:50:08,20
2025-02-22 18:03:29,18
2025-02-22 18:03:29,18
2025-02-22 18:03:29,19
2025-02-22 18:03:29,18
2025-02-22 18:03:29,20
2025-02-22 18:03:29,19
2025-02-22 18:03:29,19
2025-02-22 18:03:29,18
2025-02-22 18:03:29,18
2025-02-22 18:03:29,18
2025-02-22 18:03:29,20
2025-02-22 18:03:29,19
2025-02-22 18:03:29,19
2025-02-22 18:03:29,19
2025-02-22 18:03:29,20
2025-02-22 18:03:29,18
2025-02-22 18:03:29,18
2025-02-22 18:03:29,18
2025-02-22 18:03:29,20
2025-02-22 18:03:29,18
2025-02-22 18:03:29,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,20
2025-02-22 18:10:03,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,20
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
2025-02-22 18:10:03,19
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,18
2025-02-22 18:10:03,19
